2024-09-07 16:56:33,587 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Current SDK version is 0.17.9
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Configure stats pid to 6007
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Loading settings from /home/alex/.config/wandb/settings
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Loading settings from /home/alex/Desktop/atari/comp/wandb/settings
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'ppo3.py', 'program_abspath': '/home/alex/Desktop/atari/comp/ppo3.py', 'program': '/home/alex/Desktop/atari/comp/ppo3.py'}
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_init.py:_log_setup():524] Logging user logs to /home/alex/Desktop/atari/comp/wandb/run-20240907_165633-cmpazk8y/logs/debug.log
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_init.py:_log_setup():525] Logging internal logs to /home/alex/Desktop/atari/comp/wandb/run-20240907_165633-cmpazk8y/logs/debug-internal.log
2024-09-07 16:56:33,588 INFO    MainThread:6007 [wandb_init.py:init():608] calling init triggers
2024-09-07 16:56:33,589 INFO    MainThread:6007 [wandb_init.py:init():615] wandb.init called with sweep_config: {}
config: {'exp_name': 'ppo3', 'seed': 1, 'torch_deterministic': True, 'cuda': True, 'track': True, 'wandb_project_name': 'cleanRL', 'wandb_entity': None, 'capture_video': False, 'env_id': 'entombed_competitive_v3', 'total_timesteps': 12000, 'learning_rate': 0.00025, 'num_envs': 32, 'num_steps': 128, 'anneal_lr': True, 'gamma': 0.99, 'gae_lambda': 0.95, 'num_minibatches': 4, 'update_epochs': 4, 'norm_adv': True, 'clip_coef': 0.1, 'clip_vloss': True, 'ent_coef': 0.01, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'target_kl': None, 'batch_size': 4096, 'minibatch_size': 1024}
2024-09-07 16:56:33,589 INFO    MainThread:6007 [wandb_init.py:init():658] starting backend
2024-09-07 16:56:33,589 INFO    MainThread:6007 [wandb_init.py:init():662] setting up manager
2024-09-07 16:56:33,591 INFO    MainThread:6007 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-07 16:56:33,592 INFO    MainThread:6007 [wandb_init.py:init():670] backend started and connected
2024-09-07 16:56:33,596 INFO    MainThread:6007 [wandb_init.py:init():768] updated telemetry
2024-09-07 16:56:33,597 INFO    MainThread:6007 [wandb_init.py:init():801] communicating run to backend with 90.0 second timeout
2024-09-07 16:56:34,280 INFO    MainThread:6007 [wandb_init.py:init():852] starting run threads in backend
2024-09-07 16:56:34,489 INFO    MainThread:6007 [wandb_run.py:_console_start():2465] atexit reg
2024-09-07 16:56:34,489 INFO    MainThread:6007 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-09-07 16:56:34,489 INFO    MainThread:6007 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-09-07 16:56:34,489 INFO    MainThread:6007 [wandb_run.py:_redirect():2401] Redirects installed.
2024-09-07 16:56:34,490 INFO    MainThread:6007 [wandb_init.py:init():895] run started, returning control to user process
2024-09-07 16:56:34,490 INFO    MainThread:6007 [wandb_run.py:_tensorboard_callback():1554] tensorboard callback: runs/entombed_competitive_v3__ppo3__1__1725720423, True
2024-09-07 16:57:44,832 WARNING MsgRouterThr:6007 [router.py:message_loop():77] message_loop has been closed
